;artist;genre;media;style;title;url;year
0;Agnes Martin;abstract;;minimalism;Desert Rain;https://uploads8.wikiart.org/images/agnes-martin/desert-rain-1957.jpg;1957
1;Agnes Martin;abstract;oil;minimalism;Untitled;https://uploads5.wikiart.org/images/agnes-martin/untitled-1959.jpg;1959
2;Agnes Martin;abstract;;color field painting;Untitled;https://uploads7.wikiart.org/images/agnes-martin/untitled-1959-1.jpg;1959
3;Agnes Martin;abstract;;minimalism;Homage to Greece;https://uploads4.wikiart.org/images/agnes-martin/homage-to-greece-1959.jpg;1959
4;Agnes Martin;abstract;oil;color field painting;This Rain;https://uploads7.wikiart.org/images/agnes-martin/this-rain-1960.jpg!Large.jpg;1960
5;Agnes Martin;abstract;oil;color field painting;Rain (Study);https://uploads7.wikiart.org/images/agnes-martin/rain-study-1960.jpg;1960
6;Agnes Martin;abstract;oil;minimalism;White Flower;https://uploads0.wikiart.org/images/agnes-martin/white-flower-1960.jpg;1960
7;Agnes Martin;abstract;;minimalism;Aspiration;https://uploads8.wikiart.org/images/agnes-martin/aspiration-1960.jpg!Large.jpg;1960
8;Agnes Martin;abstract;acrylic,graphite,canvas;minimalism;The Islands;https://uploads3.wikiart.org/images/agnes-martin/the-islands-1961(1).jpg!Large.jpg;1961
9;Agnes Martin;abstract;;minimalism;Untitled (White Flower);https://uploads1.wikiart.org/images/agnes-martin/untitled-white-flower-1961.jpg!Large.jpg;1961
10;Agnes Martin;abstract;;minimalism;Drops;https://uploads2.wikiart.org/images/agnes-martin/drops-1961.jpg;1961
11;Agnes Martin;abstract;ink,paper;minimalism;Tremolo;https://uploads4.wikiart.org/images/agnes-martin/tremolo-1962.jpg;1962
12;Agnes Martin;abstract;;minimalism;Morning Star;https://uploads0.wikiart.org/images/agnes-martin/morning-star-1962.jpg;1962
13;Agnes Martin;abstract;ink,watercolor,paper;minimalism;Stars;https://uploads2.wikiart.org/images/agnes-martin/stars-1963.jpg;1963
14;Agnes Martin;abstract;oil,gold,canvas;minimalism;Night Sea;https://uploads7.wikiart.org/images/agnes-martin/night-sea-1963.jpg!Large.jpg;1963
15;Agnes Martin;abstract;;minimalism;Falling Blue;https://uploads0.wikiart.org/images/agnes-martin/falling-blue-1963.jpg;1963
16;Agnes Martin;abstract;;minimalism;Untitled;https://uploads6.wikiart.org/images/agnes-martin/untitled-1963.jpg!Large.jpg;1963
17;Agnes Martin;abstract;;minimalism;Starlight;https://uploads1.wikiart.org/images/agnes-martin/starlight.jpg;1963
18;Agnes Martin;abstract;pencil,ink,paper;minimalism;Red Bird;https://uploads5.wikiart.org/images/agnes-martin/red-bird-1964.jpg;1964
19;Agnes Martin;abstract;oil,pencil,canvas;minimalism;The Tree;https://uploads5.wikiart.org/images/agnes-martin/the-tree-1964.jpg;1964
20;Agnes Martin;abstract;;minimalism;The Peach;https://uploads7.wikiart.org/images/agnes-martin/the-peach-1964.jpg!Large.jpg;1964
21;Agnes Martin;abstract;;minimalism;Petal;https://uploads2.wikiart.org/images/agnes-martin/petal-1964.jpg;1964
22;Agnes Martin;abstract;;minimalism;The Harvest;https://uploads8.wikiart.org/images/agnes-martin/the-harvest-1965.jpg;1965
23;Agnes Martin;abstract;;minimalism;The Desert;https://uploads7.wikiart.org/images/agnes-martin/the-desert-1965.jpg;1965
24;Agnes Martin;abstract;;minimalism;Untitled;https://uploads5.wikiart.org/images/agnes-martin/untitled-1965.jpg;1965
25;Agnes Martin;abstract;pencil,canvas;minimalism;Mountain I;https://uploads7.wikiart.org/images/agnes-martin/mountain-i-1966.jpg;1966
26;Agnes Martin;abstract;;minimalism;Leaves;https://uploads7.wikiart.org/images/agnes-martin/leaves.jpg;1966
27;Agnes Martin;abstract;;minimalism;Columns;https://uploads8.wikiart.org/images/agnes-martin/columns.jpg;1966
28;Agnes Martin;abstract;acrylic,graphite,ink,canvas;minimalism;Happy Valley;https://uploads1.wikiart.org/images/agnes-martin/happy-valley-1967.jpg!Large.jpg;1967
29;Agnes Martin;abstract;;minimalism;On a clear day, #2;https://uploads4.wikiart.org/images/agnes-martin/on-a-clear-day-2-1973.jpg;1973
30;Agnes Martin;abstract;;minimalism;On a clear day, #1;https://uploads4.wikiart.org/images/agnes-martin/on-a-clear-day-1-1973.jpg;1973
31;Agnes Martin;abstract;;minimalism;Untitled Number 5;https://uploads5.wikiart.org/images/agnes-martin/untitled-number-5-1975.jpg;1975
32;Agnes Martin;abstract;oil;minimalism;Untitled #0;https://uploads8.wikiart.org/images/agnes-martin/untitled-0-1975.jpg!Large.jpg;1975
33;Agnes Martin;abstract;;minimalism;Untitled #13;https://uploads8.wikiart.org/images/agnes-martin/untitled-13-1975.jpg;1975
34;Agnes Martin;abstract;lithography;minimalism;Praise;https://uploads6.wikiart.org/images/agnes-martin/praise-1976(1).jpg;1976
35;Agnes Martin;abstract;;minimalism;Untitled;https://uploads5.wikiart.org/images/agnes-martin/untitled-1977.jpg;1977
36;Agnes Martin;abstract;;minimalism;Untitled;https://uploads7.wikiart.org/images/agnes-martin/untitled-1977-1.jpg;1977
37;Agnes Martin;abstract;;minimalism;Untitled;https://uploads7.wikiart.org/images/agnes-martin/untitled-1977-2.jpg;1977
38;Agnes Martin;abstract;;minimalism;Untitled;https://uploads8.wikiart.org/images/agnes-martin/untitled-1977-3.jpg!Large.jpg;1977
39;Agnes Martin;abstract;ink,watercolor,paper;minimalism;Untitled;https://uploads5.wikiart.org/images/agnes-martin/untitled-1978.jpg;1978
40;Agnes Martin;abstract;;minimalism;Untitled;https://uploads7.wikiart.org/images/agnes-martin/untitled-1978-1.jpg;1978
41;Agnes Martin;abstract;;minimalism;The Islands;https://uploads0.wikiart.org/images/agnes-martin/the-islands-1979.jpg!Large.jpg;1979
42;Agnes Martin;abstract;;minimalism;Untitled #6;https://uploads7.wikiart.org/images/agnes-martin/untitled-6-1980.jpg;1980
43;Agnes Martin;abstract;;minimalism;Untitled;https://uploads5.wikiart.org/images/agnes-martin/untitled-1980.jpg;1980
44;Agnes Martin;abstract;;minimalism;Untitled No. 1;https://uploads1.wikiart.org/images/agnes-martin/untitled-no-1-1981.jpg;1981
45;Agnes Martin;abstract;;minimalism;Untitled #4;https://uploads7.wikiart.org/images/agnes-martin/untitled-4-1989.jpg;1989
46;Agnes Martin;abstract;;minimalism;Untitled;https://uploads5.wikiart.org/images/agnes-martin/untitled-1994.jpg;1994
47;Agnes Martin;abstract;;minimalism;Untitled #15 (Peace);https://uploads5.wikiart.org/images/agnes-martin/untitled-15-peace-1996.jpg;1996
48;Agnes Martin;abstract;canvas;minimalism;With My Back to the World;https://uploads4.wikiart.org/images/agnes-martin/with-my-back-to-the-world-1997.jpg;1997
49;Agnes Martin;abstract;;minimalism;Untitled;https://uploads6.wikiart.org/images/agnes-martin/untitled-1998.jpg!Large.jpg;1998
50;Agnes Martin;abstract;;minimalism;Happy Holiday;https://uploads2.wikiart.org/images/agnes-martin/happy-holiday-1999.jpg!Large.jpg;1999
51;Agnes Martin;abstract;;minimalism;Loving Love;https://uploads3.wikiart.org/images/agnes-martin/loving-love.jpg;1999
52;Agnes Martin;abstract;acrylic,graphite,canvas;minimalism;Gratitude;https://uploads7.wikiart.org/images/agnes-martin/grattitude-2001.jpg;2001
53;Agnes Martin;abstract;;minimalism;Untitled;https://uploads6.wikiart.org/images/agnes-martin/untitled-2001.jpg!Large.jpg;2001
54;Agnes Martin;abstract;;minimalism;I Love Life;https://uploads3.wikiart.org/images/agnes-martin/i-love-life.jpg;2001
55;Agnes Martin;abstract;;minimalism;Untitled #11;https://uploads8.wikiart.org/images/agnes-martin/untitled-11-2002.jpg;2002
56;Agnes Martin;abstract;;minimalism;The Sea;https://uploads8.wikiart.org/images/agnes-martin/black-1.jpg;2003
