;artist;genre;media;style;title;url;year
0;Berthe Morisot;religious painting;oil,canvas;realism;Calvary (after Veronese);https://uploads8.wikiart.org/images/berthe-morisot/calvary-after-veronese.jpg!Large.jpg;1858
1;Berthe Morisot;landscape;oil,canvas;impressionism;Farm in Normandy;https://uploads2.wikiart.org/images/berthe-morisot/farm-in-normandy.jpg!Large.jpg;1860
2;Berthe Morisot;landscape;oil,canvas;impressionism;The Old Track to Auvers;https://uploads5.wikiart.org/images/berthe-morisot/the-old-track-to-auvers-1863.jpg!Large.jpg;1863
3;Berthe Morisot;landscape;oil,canvas;impressionism;View of Tivoli (after Corot);https://uploads3.wikiart.org/images/berthe-morisot/view-of-tivoli-after-corot.jpg!Large.jpg;1863
4;Berthe Morisot;sketch and study;oil,canvas;impressionism;Study, The Water's Edge;https://uploads8.wikiart.org/images/berthe-morisot/study-the-water-s-edge.jpg!Large.jpg;1864
5;Berthe Morisot;portrait;watercolor;impressionism;Young Lady Seated on a Bench;https://uploads5.wikiart.org/images/berthe-morisot/young-lady-seated-on-a-bench.jpg!Large.jpg;1864
6;Berthe Morisot;landscape;oil,canvas;impressionism;Thatched Cottage in Normandy;https://uploads5.wikiart.org/images/berthe-morisot/thatched-cottage-in-normandy.jpg!Large.jpg;1865
7;Berthe Morisot;genre painting;watercolor;impressionism;Rosalie Reisener;https://uploads2.wikiart.org/images/berthe-morisot/rosalie-reisener.jpg!Large.jpg;1866
8;Berthe Morisot;landscape;oil,canvas;impressionism;The Seine below the Pont d'Lena;https://uploads8.wikiart.org/images/berthe-morisot/the-seine-below-the-pont-d-lena.jpg!Large.jpg;1866
9;Berthe Morisot;landscape;oil,canvas;impressionism;Rosbras, Brittany;https://uploads7.wikiart.org/images/berthe-morisot/rosbras-brittany-1867.jpg!Large.jpg;1867
10;Berthe Morisot;genre painting;oil,canvas;impressionism;The Artist's Sister at a Window;https://uploads8.wikiart.org/images/berthe-morisot/the-artist-s-sister-at-a-window.jpg!Large.jpg;1869
11;Berthe Morisot;landscape;oil,canvas;impressionism;The Harbor at Lorient;https://uploads7.wikiart.org/images/berthe-morisot/the-harbor-at-lorient.jpg!Large.jpg;1869
12;Berthe Morisot;portrait;oil,canvas;impressionism;Two Sisters on a Couch;https://uploads8.wikiart.org/images/berthe-morisot/two-sisters-on-a-couch.jpg!Large.jpg;1869
13;Berthe Morisot;portrait;oil,canvas;impressionism;Portrait of a Woman in a pink dress;https://uploads3.wikiart.org/images/berthe-morisot/portrait-of-a-woman-in-a-pink-dress.jpg!Large.jpg;1870
14;Berthe Morisot;portrait;oil,canvas;impressionism;Portrait of the Artist's Mother and Sister;https://uploads1.wikiart.org/images/berthe-morisot/portrait-of-the-artist-s-mother-and-sister.jpg!Large.jpg;1870
15;Berthe Morisot;genre painting;watercolor;impressionism;On the Sofa;https://uploads6.wikiart.org/images/berthe-morisot/on-the-sofa.jpg!Large.jpg;1871
16;Berthe Morisot;portrait;oil,canvas;impressionism;Portrait of Edma Pontillon;https://uploads3.wikiart.org/images/berthe-morisot/portrait-of-edma-pontillon.jpg!Large.jpg;1871
17;Berthe Morisot;genre painting;watercolor;impressionism;Woman and Child Seated in a Meadow;https://uploads2.wikiart.org/images/berthe-morisot/woman-and-child-seated-in-a-meadow.jpg!Large.jpg;1871
18;Berthe Morisot;portrait;oil,canvas;impressionism;Young Woman;https://uploads6.wikiart.org/images/berthe-morisot/young-woman.jpg!Large.jpg;1871
19;Berthe Morisot;genre painting;oil,canvas;impressionism;Interior;https://uploads3.wikiart.org/images/berthe-morisot/interior.jpg!Large.jpg;1872
20;Berthe Morisot;genre painting;watercolor;impressionism;The Artist's Sister Edma with Her Daughter Jeanne;https://uploads8.wikiart.org/images/berthe-morisot/the-artist-s-sister-edma-with-her-daughter-jeanne.jpg!Large.jpg;1872
21;Berthe Morisot;genre painting;oil,canvas;impressionism;The Cradle;https://uploads1.wikiart.org/images/berthe-morisot/the-cradle-1872.jpg!Large.jpg;1872
22;Berthe Morisot;genre painting;oil,canvas;impressionism;View of Paris from the Trocadero;https://uploads3.wikiart.org/images/berthe-morisot/view-on-paris-sun.jpg!Large.jpg;1872
23;Berthe Morisot;genre painting;pencil,watercolor,paper;impressionism;Woman and child on the balcony;https://uploads7.wikiart.org/images/berthe-morisot/woman-and-child-on-the-balcony.jpg!Large.jpg;1872
24;Berthe Morisot;genre painting;oil,canvas;impressionism;Hide and Seek;https://uploads8.wikiart.org/images/berthe-morisot/hide-and-seek.jpg!Large.jpg;1873
25;Berthe Morisot;portrait;oil,canvas;impressionism;Mme Boursier and Her Daughter;https://uploads2.wikiart.org/images/berthe-morisot/mme-boursier-and-her-daughter-1873.jpg!Large.jpg;1873
26;Berthe Morisot;portrait;oil,canvas;impressionism;Portrait of Marguerite Carre (also known as Young Girl in a Ball Gown);https://uploads0.wikiart.org/images/berthe-morisot/portrait-of-marguerite-carre-also-known-as-young-girl-in-a-ball-gown.jpg!Large.jpg;1873
27;Berthe Morisot;genre painting;oil,canvas;impressionism;Reading with Green Umbrella;https://uploads4.wikiart.org/images/berthe-morisot/reading-with-green-umbrella.jpg!Large.jpg;1873
28;Berthe Morisot;genre painting;oil,canvas;impressionism;The Beach at Petit Dalles (aka On the Beach);https://uploads1.wikiart.org/images/berthe-morisot/the-beach-at-petit-dalles-aka-on-the-beach.jpg!Large.jpg;1873
29;Berthe Morisot;landscape;pastel,paper;impressionism;The village of Maurecourt;https://uploads7.wikiart.org/images/berthe-morisot/the-village-of-maurecourt-1873.jpg!Large.jpg;1873
30;Berthe Morisot;genre painting;pastel;impressionism;Young Girl with a Parrot;https://uploads1.wikiart.org/images/berthe-morisot/young-girl-with-a-parrot.jpg!Large.jpg;1873
31;Berthe Morisot;genre painting;oil,canvas;impressionism;Beneath the Lilac at Maurecourt;https://uploads4.wikiart.org/images/berthe-morisot/beneath-the-lilac-at-maurecourt-1874.jpg!Large.jpg;1874
32;Berthe Morisot;cityscape;oil,canvas;impressionism;Boats under Construction;https://uploads1.wikiart.org/images/berthe-morisot/boats-under-construction.jpg!Large.jpg;1874
33;Berthe Morisot;landscape;pastel;impressionism;Harbor in the Port of Fecamp;https://uploads5.wikiart.org/images/berthe-morisot/harbor-in-the-port-of-fecamp.jpg!Large.jpg;1874
34;Berthe Morisot;genre painting;pastel,paper;impressionism;In a Park;https://uploads4.wikiart.org/images/berthe-morisot/in-a-park.jpg!Large.jpg;1874
35;Berthe Morisot;genre painting;oil,canvas;impressionism;In a Villa at the Seaside;https://uploads2.wikiart.org/images/berthe-morisot/in-a-villa-at-the-seaside.jpg!Large.jpg;1874
36;Berthe Morisot;genre painting;oil,canvas;impressionism;On the Terrace;https://uploads5.wikiart.org/images/berthe-morisot/on-the-terrace-1874.jpg!Large.jpg;1874
37;Berthe Morisot;portrait;oil,canvas;impressionism;Portrait of Madame Hubbard;https://uploads3.wikiart.org/images/berthe-morisot/portrait-of-madame-hubbard.jpg!Large.jpg;1874
38;Berthe Morisot;genre painting;oil,canvas;impressionism;The Butterfly Hunt;https://uploads0.wikiart.org/images/berthe-morisot/the-butterfly-hunt-1874.jpg!Large.jpg;1874
39;Berthe Morisot;;;impressionism;Au Bal;https://uploads2.wikiart.org/00251/images/berthe-morisot/berthe-morisot-jeune-fille-au-bal.jpg!Large.jpg;
