;artist;genre;media;style;title;url;year
0;Francisco Goya;history painting;;romanticism;The Esquilache Riots;https://uploads6.wikiart.org/images/francisco-goya/the-esquilache-riots.jpg!Large.jpg;
1;Francisco Goya;genre painting;;romanticism;Triple generation;https://uploads8.wikiart.org/images/francisco-goya/triple-generation-1769.jpg!Large.jpg;
2;Francisco Goya;mythological painting;oil,canvas;romanticism;The Sacrifice to Priapus;https://uploads6.wikiart.org/images/francisco-goya/the-sacrifice-to-priapus-1771.jpg!Large.jpg;
3;Francisco Goya;history painting;;romanticism;Hanibal victorious contemplates Italy from the Alps;https://uploads7.wikiart.org/images/francisco-goya/hanibal-vencedor-contempla-italia-desde-los-alpes.jpg;
4;Francisco Goya;mythological painting;;romanticism;The Sacrifice to Vesta;https://uploads8.wikiart.org/images/francisco-goya/the-sacrifice-to-vesta.jpg!Large.jpg;
5;Francisco Goya;mythological painting;oil,canvas;romanticism;The Rape of Europa;https://uploads7.wikiart.org/00139/images/francisco-goya/goya.jpg!Large.jpg;
6;Francisco Goya;religious painting;fresco;romanticism;Birth of the Virgin;https://uploads1.wikiart.org/images/francisco-goya/birth-of-the-virgin-1772.jpg!Large.jpg;
7;Francisco Goya;religious painting;fresco;romanticism;The Adoration of the Name of The Lord;https://uploads7.wikiart.org/00258/images/francisco-goya/1772-francisco-goya-the-adoration-of-the-name-of-the-lord.jpg;
8;Francisco Goya;religious painting;oil,canvas;romanticism;The Burial of Christ;https://uploads2.wikiart.org/images/francisco-goya/the-burial-of-christ-1772.jpg!Large.jpg;
9;Francisco Goya;religious painting;;romanticism;Circumcision;https://uploads7.wikiart.org/images/francisco-goya/circumcision.jpg!Large.jpg;
10;Francisco Goya;self-portrait;oil,panel;romanticism;Self-portrait;https://uploads1.wikiart.org/images/francisco-goya/self-portrait-1.jpg!Large.jpg;
11;Francisco Goya;genre painting;oil,canvas;romanticism;The Quail Shoot;https://uploads6.wikiart.org/images/francisco-goya/the-quail-shoot-1775.jpg!Large.jpg;
12;Francisco Goya;self-portrait;;romanticism;Self Portrait;https://uploads7.wikiart.org/images/francisco-goya/self-portrait.jpg;
