;artist;genre;media;style;title;url;year
0;Henry Fuseli;literary painting;;romanticism;'Henry V', Act II, Scene 2, Henry V Discovering the Conspirators;https://uploads6.wikiart.org/images/henry-fuseli/henry-v-act-ii-scene-2-henry-v-discovering-the-conspirators-1780(1).jpg!Large.jpg;1780
1;Henry Fuseli;symbolic painting;oil,canvas;romanticism;The Nightmare;https://uploads2.wikiart.org/images/henry-fuseli/the-nightmare-1781.jpg!Large.jpg;1781
2;Henry Fuseli;literary painting;oil,canvas;romanticism;'Macbeth', Act I, Scene 3, the Weird Sisters;https://uploads4.wikiart.org/images/henry-fuseli/macbeth-act-i-scene-3-the-weird-sisters-1783(1).jpg!Large.jpg;1783
3;Henry Fuseli;literary painting;;romanticism;Percival Delivering Belisane from the Enchantment of Urma;https://uploads4.wikiart.org/images/henry-fuseli/percival-delivering-belisane-from-the-enchantment-of-urma-1783(1).jpg!Large.jpg;1783
4;Henry Fuseli;literary painting;;romanticism;Dispute between Hotspur, Glendower, Mortimer and Worcester;https://uploads3.wikiart.org/images/henry-fuseli/dispute-between-hotspur-glendower-mortimer-and-worcester-1784(1).jpg!Large.jpg;1784
5;Henry Fuseli;mythological painting;;romanticism;The Death of Oedipus;https://uploads3.wikiart.org/images/henry-fuseli/the-death-of-oedipus-1784(1).jpg!Large.jpg;1784
6;Henry Fuseli;literary painting;;romanticism;Mamillius Conjuring up Sprites and Goblins for His Mother, Hermione;https://uploads4.wikiart.org/images/henry-fuseli/mamillius-conjuring-up-sprites-and-goblins-for-his-mother-hermione-1786(1).jpg!Large.jpg;1786
7;Henry Fuseli;literary painting;;romanticism;The Shepherd's Dream;https://uploads0.wikiart.org/images/henry-fuseli/the-shepherd-s-dream-1786.jpg!Large.jpg;1786
8;Henry Fuseli;literary painting;;romanticism;Prospero;https://uploads0.wikiart.org/images/henry-fuseli/prospero-1789(1).jpg!Large.jpg;1789
9;Henry Fuseli;mythological painting;;romanticism;Thor Battering the Midgard Serpent;https://uploads8.wikiart.org/images/henry-fuseli/thor-battering-the-midgard-serpent-1790(1).jpg!Large.jpg;1790
10;Henry Fuseli;literary painting;;romanticism;Titania and Bottom;https://uploads7.wikiart.org/images/henry-fuseli/titania-and-bottom-1790.jpg!Large.jpg;1790
11;Henry Fuseli;literary painting;;romanticism;The Shepherd's Dream, from 'Paradise Lost';https://uploads4.wikiart.org/images/henry-fuseli/the-shepherd-s-dream-from-paradise-lost-1793(1).jpg!Large.jpg;1793
12;Henry Fuseli;literary painting;;romanticism;Macbeth, Banquo and the Witches;https://uploads4.wikiart.org/images/henry-fuseli/macbeth-banquo-and-the-witches-1794(1).jpg!Large.jpg;1794
13;Henry Fuseli;;;romanticism;The Apothesis of Penelope Boothby;https://uploads7.wikiart.org/images/henry-fuseli/the-apothesis-of-penelope-boothby-1794(1).jpg!Large.jpg;1794
14;Henry Fuseli;genre painting;;romanticism;The Return of Milton's Wife;https://uploads2.wikiart.org/images/henry-fuseli/the-return-of-milton-s-wife-17881799.jpg!Large.jpg;1799
15;Henry Fuseli;portrait;;romanticism;Milton When a Boy Instructed by His Mother;https://uploads7.wikiart.org/images/henry-fuseli/milton-when-a-boy-instructed-by-his-mother-1800(1).jpg!Large.jpg;1800
16;Henry Fuseli;mythological painting;;romanticism;Teiresias Foretells the Future to Odysseus;https://uploads7.wikiart.org/images/henry-fuseli/teiresias-foretells-the-future-to-odysseus-1800(1).jpg!Large.jpg;1800
17;Henry Fuseli;literary painting;;romanticism;The Infant Shakespeare between Tragedy and Comedy;https://uploads5.wikiart.org/images/henry-fuseli/the-infant-shakespeare-between-tragedy-and-comedy-1805(1).jpg!Large.jpg;1805
18;Henry Fuseli;genre painting;;romanticism;The Debutante;https://uploads5.wikiart.org/images/henry-fuseli/the-debutante-1807(1).jpg!Large.jpg;1807
19;Henry Fuseli;literary painting;;romanticism;The Fire King;https://uploads5.wikiart.org/images/henry-fuseli/the-fire-king-1810(1).jpg!Large.jpg;1810
20;Henry Fuseli;literary painting;;romanticism;A Scene from 'The Wife of Bath's Tale';https://uploads1.wikiart.org/images/henry-fuseli/a-scene-from-the-wife-of-bath-s-tale-1812(1).jpg!Large.jpg;1812
21;Henry Fuseli;literary painting;;romanticism;Lady Macbeth Seizing the Daggers;https://uploads6.wikiart.org/images/henry-fuseli/lady-macbeth-seizing-the-daggers-1812(1).jpg!Large.jpg;1812
22;Henry Fuseli;literary painting;;romanticism;Friar Puck;https://uploads5.wikiart.org/images/henry-fuseli/friar-puck(1).jpg;
23;Henry Fuseli;literary painting;;romanticism;The Dream of Queen Katherine;https://uploads6.wikiart.org/images/henry-fuseli/the-dream-of-queen-katherine(1).jpg!Large.jpg;
24;Henry Fuseli;sketch and study;;romanticism;The Dream of Queen Katherine;https://uploads8.wikiart.org/images/henry-fuseli/the-dream-of-queen-katherine-1(1).jpg!Large.jpg;
25;Henry Fuseli;literary painting;;romanticism;The Dream of Queen Katherine;https://uploads8.wikiart.org/images/henry-fuseli/the-dream-of-queen-katherine-2(1).jpg!Large.jpg;
26;Henry Fuseli;literary painting;;romanticism;The Italian Count (Ezzelin Bracciaferro, 'Iron Arm', Musing over Meduna, Destroyed by him for Disloyalty, during His Absence in the Holy Land)  1780;https://uploads2.wikiart.org/images/henry-fuseli/the-italian-count-ezzelin-bracciaferro-iron-arm-musing-over-meduna-destroyed-by-him-for(1).jpg!Large.jpg;
27;Henry Fuseli;literary painting;;romanticism;The Tempest;https://uploads7.wikiart.org/images/henry-fuseli/the-tempest(1).jpg!Large.jpg;
28;Henry Fuseli;literary painting;;romanticism;The Vision of Catherine of Aragon;https://uploads2.wikiart.org/images/henry-fuseli/the-vision-of-catherine-of-aragon(1).jpg!Large.jpg;
