;artist;genre;media;style;title;url;year
0;Jackson Pollock;genre painting;;expressionism;Peddler;https://uploads5.wikiart.org/00336/images/jackson-pollock/peddler-c-1930-1935.jpg!Large.jpg;1935
1;Jackson Pollock;figurative;oil,fiberboard;expressionism;Going West;https://uploads6.wikiart.org/images/jackson-pollock/going-west.jpg!Large.jpg;1935
2;Jackson Pollock;figurative;lithography;expressionism;Figures in a Landscape;https://uploads2.wikiart.org/figures-in-a-landscape(1).jpg;1937
3;Jackson Pollock;figurative;enamel,lithography;expressionism;Landscape with Steer;https://uploads6.wikiart.org/landscape-with-steer-1937(2).jpg;1937
4;Jackson Pollock;figurative;lithography;expressionism;Landscape with Steer;https://uploads6.wikiart.org/landscape-with-steer-1937(3).jpg;1937
5;Jackson Pollock;genre painting;;expressionism;Miners;https://uploads5.wikiart.org/00336/images/jackson-pollock/miners-ca-1934-1938.jpg!Large.jpg;1938
6;Jackson Pollock;figurative;oil,canvas;abstract expressionism;The Flame;https://uploads3.wikiart.org/the-flame-1938(1).jpg;1938
7;Jackson Pollock;figurative;oil,canvas;expressionism;Untitled (Naked Man with Knife);https://uploads0.wikiart.org/man-with-knife-1940(1).jpg!Large.jpg;1940
8;Jackson Pollock;figurative;oil,board;expressionism;Circle;https://uploads0.wikiart.org/circle-1941(1).jpg;1941
9;Jackson Pollock;figurative;colored pencils,pencil,paper;abstract expressionism;Untitled;https://uploads8.wikiart.org/untitled-1941(2).jpg;1941
10;Jackson Pollock;figurative;gouache,indian ink,screenprint;abstract expressionism;Untitled;https://uploads8.wikiart.org/untitled-1941(3).jpg;1941
11;Jackson Pollock;figurative;oil,canvas;expressionism;Bird;https://uploads8.wikiart.org/bird-1941(1).jpg;1941
12;Jackson Pollock;figurative;oil,canvas;expressionism;Mask;https://uploads1.wikiart.org/mask(1).jpg;1941
13;Jackson Pollock;figurative;charcoal,pencil,paper;expressionism;Sheet of Studies;https://uploads3.wikiart.org/sheet-of-studies-1941(1).jpg;1941
14;Jackson Pollock;figurative;oil,canvas;abstract expressionism;Birth;https://uploads3.wikiart.org/birth(1).jpg!Large.jpg;1941
15;Jackson Pollock;figurative;oil,canvas;abstract expressionism;Moon Woman;https://uploads7.wikiart.org/moon-woman-1942(1).jpg!Large.jpg;1942
16;Jackson Pollock;figurative;oil,ink,paper;expressionism;Animals and Figures;https://uploads0.wikiart.org/animals-and-figures(1).jpg;1942
17;Jackson Pollock;abstract;oil,canvas;abstract expressionism;Male and Female;https://uploads7.wikiart.org/male-and-female(1).jpg!Large.jpg;1942
18;Jackson Pollock;abstract;oil,canvas;abstract expressionism;Stenographic Figure;https://uploads2.wikiart.org/stenographic-figure(1).jpg!Large.jpg;1942
19;Jackson Pollock;figurative;colored pencils,pen,ink,watercolor,paper;expressionism;Untitled;https://uploads4.wikiart.org/untitled(4).jpg!Large.jpg;1943
20;Jackson Pollock;abstract;gouache,oil,pastel,canvas;abstract expressionism;The She-Wolf;https://uploads2.wikiart.org/the-she-wolf(1).jpg!Large.jpg;1943
21;Jackson Pollock;figurative;;abstract expressionism;Blue (Moby Dick);https://uploads6.wikiart.org/blue-moby-dick(1).jpg!Large.jpg;1943
22;Jackson Pollock;abstract;oil,canvas;action painting;Composition with Pouring II;https://uploads3.wikiart.org/composition-with-pouring-ii(1).jpg!Large.jpg;1943
23;Jackson Pollock;figurative;ink,paper;expressionism;Untitled;https://uploads4.wikiart.org/untitled(5).jpg!Large.jpg;1943
24;Jackson Pollock;abstract;oil,canvas;abstract expressionism;Mural;https://uploads1.wikiart.org/images/jackson-pollock/mural.jpg!Large.jpg;1943
25;Jackson Pollock;abstract;oil,canvas;abstract expressionism;The Moon-Woman Cuts the Circle;https://uploads4.wikiart.org/images/jackson-pollock/the-moon-woman-cuts-the-circle-1943.jpg!Large.jpg;1943
26;Jackson Pollock;figurative;oil,pen,ink,watercolor,paper;abstract expressionism;Untitled;https://uploads0.wikiart.org/untitled-1944(1).jpg!Large.jpg;1944
27;Jackson Pollock;figurative;oil,canvas;abstract expressionism;Totem Lesson 2;https://uploads2.wikiart.org/totem-lesson-2-1945(1).jpg!Large.jpg;1945
28;Jackson Pollock;abstract;gouache,ink,watercolor,paper;abstract expressionism;Pattern;https://uploads5.wikiart.org/pattern(1).jpg!Large.jpg;1945
29;Jackson Pollock;figurative;colored pencils,crayon,ink,watercolor,paper;abstract expressionism;Untitled;https://uploads3.wikiart.org/untitled(3).jpg;1945
30;Jackson Pollock;abstract;oil,canvas;action painting;Eyes in the Heat;https://uploads0.wikiart.org/eyes-in-the-heat-1946(2).jpg!Large.jpg;1946
31;Jackson Pollock;abstract;oil,canvas;action painting;Shimmering Substance;https://uploads2.wikiart.org/shimmering-substance(1).jpg!Large.jpg;1946
32;Jackson Pollock;abstract;oil,canvas;abstract expressionism;The Tea Cup;https://uploads1.wikiart.org/the-tea-cup(1).jpg!Large.jpg;1946
33;Jackson Pollock;abstract;oil,canvas;abstract expressionism;Circumcision January;https://uploads0.wikiart.org/circumcision-january(1).jpg;1946
34;Jackson Pollock;abstract;;abstract expressionism;The key;https://uploads6.wikiart.org/the-key(1).jpg!Large.jpg;1946
35;Jackson Pollock;;;;Number 32;https://uploads1.wikiart.org/00229/images/jackson-pollock/pollock.jpg!Large.jpg;1947
