;artist;genre;media;style;title;url;year
0;Karl Bodmer;landscape;;romanticism;The 'Enemy brothers' in Bornhofen on the Rhine with a convent and village view;https://uploads5.wikiart.org/images/karl-bodmer/the-enemy-brothers-in-bornhofen-on-the-rhine-with-a-convent-and-village-view.jpg!Large.jpg;1830
1;Karl Bodmer;landscape;;romanticism;The Cusanusstift in Bernkastel Kues;https://uploads5.wikiart.org/images/karl-bodmer/the-cusanusstift-in-bernkastel-kues-1831.jpg!Large.jpg;1831
2;Karl Bodmer;landscape;aquatint,paper;romanticism;Tombs of Assiniboin Indians on Trees, plate 30 from volume 1 of `Travels in the Interior of North America';https://uploads2.wikiart.org/images/karl-bodmer/tombs-of-assiniboin-indians-on-trees-plate-30-from-volume-1-of-travels-in-the-interior-of-north-1832.jpg!Large.jpg;1832
3;Karl Bodmer;portrait;;romanticism;Abdih Hiddisch, Mandan Chief;https://uploads6.wikiart.org/images/karl-bodmer/abdih-hiddisch-mandan-chief-1832.jpg!Large.jpg;1832
4;Karl Bodmer;genre painting;;romanticism;Scalp Dance of the Minatarres;https://uploads8.wikiart.org/images/karl-bodmer/scalp-dance-of-the-minatarres-1832.jpg!Large.jpg;1832
5;Karl Bodmer;genre painting;;romanticism;Indians Hunting The Bison [ Left ];https://uploads0.wikiart.org/images/karl-bodmer/indians-hunting-the-bison-left-1832.jpg!Large.jpg;1832
6;Karl Bodmer;genre painting;;romanticism;Indians Hunting The Bison [ Right ];https://uploads1.wikiart.org/images/karl-bodmer/indians-hunting-the-bison-right-1832.jpg!Large.jpg;1832
7;Karl Bodmer;portrait;;romanticism;Woman of The Cree Tribe;https://uploads2.wikiart.org/images/karl-bodmer/woman-of-the-cree-tribe-1832.jpg!Large.jpg;1832
8;Karl Bodmer;portrait;;romanticism;Rolled Scalp;https://uploads0.wikiart.org/images/karl-bodmer/rolled-scalp-1832.jpg!Large.jpg;1832
9;Karl Bodmer;genre painting;;romanticism;Missouri Indians;https://uploads4.wikiart.org/images/karl-bodmer/missouri-indians-1832.jpg!Large.jpg;1832
10;Karl Bodmer;genre painting;;romanticism;Fort Pierre;https://uploads8.wikiart.org/images/karl-bodmer/fort-pierre-1832.jpg!Large.jpg;1832
11;Karl Bodmer;landscape;aquatint,paper;romanticism;New Harmony on the Wabash, plate 2 from Volume 2 of 'Travels in the Interior of North America';https://uploads7.wikiart.org/images/karl-bodmer/new-harmony-on-the-wabash-plate-2-from-volume-2-of-travels-in-the-interior-of-north-america-1832.jpg!Large.jpg;1832
12;Karl Bodmer;landscape;;romanticism;Summerhouse of Wahpeton;https://uploads2.wikiart.org/images/karl-bodmer/summerhouse-of-wahpeton-1832.jpg!Large.jpg;1832
13;Karl Bodmer;landscape;watercolor,paper;romanticism;Confluence of the Fox River and the Wabash in Indiana;https://uploads5.wikiart.org/images/karl-bodmer/confluence-of-the-fox-river-and-the-wabash-in-indiana-1832.jpg!Large.jpg;1832
14;Karl Bodmer;landscape;;romanticism;New Harmony;https://uploads7.wikiart.org/images/karl-bodmer/new-harmony-1832.jpg;1832
15;Karl Bodmer;landscape;watercolor,paper;romanticism;The Fox River near New Harmony in Indiana;https://uploads2.wikiart.org/images/karl-bodmer/the-fox-river-near-new-harmony-in-indiana-1832.jpg!Large.jpg;1832
16;Karl Bodmer;cityscape;watercolor,paper;romanticism;The church of New Harmony;https://uploads4.wikiart.org/images/karl-bodmer/the-church-of-new-harmony-1832.jpg!Large.jpg;1832
17;Karl Bodmer;portrait;aquatint,paper;romanticism;Woman of the Snake tribe and woman of the Cree tribe, plate 33  from Volume 1 of 'Travels in the Interior of North America';https://uploads0.wikiart.org/images/karl-bodmer/woman-of-the-snake-tribe-and-woman-of-the-cree-tribe-plate-33-from-volume-1-of-travels-in-the-1832.jpg!Large.jpg;1832
18;Karl Bodmer;genre painting;pencil,ink,watercolor,paper;romanticism;Blackfeet warrior on horseback;https://uploads4.wikiart.org/images/karl-bodmer/blackfeet-warrior-on-horseback.jpg!Large.jpg;c.18
19;Karl Bodmer;portrait;pencil,ink,watercolor,paper;romanticism;Wahk-ta-Ge-Li, a Sioux warrior;https://uploads8.wikiart.org/images/karl-bodmer/wahk-ta-ge-li-a-sioux-warrior-1833.jpg!Large.jpg;1833
20;Karl Bodmer;portrait;aquatint,paper;romanticism;Mato-Tope, a Mandan chief;https://uploads3.wikiart.org/images/karl-bodmer/mato-tope-a-mandan-chief-1833.jpg!Large.jpg;1833
