;artist;genre;media;style;title;url;year
0;Katsushika Hokusai;cityscape;woodcut;ukiyo-e;Inside the Courtyard of the Toeizan Temple at Ueno;https://uploads4.wikiart.org/images/katsushika-hokusai/inside-the-courtyard-of-the-toeizan-temple-at-ueno.jpg!Large.jpg;1786
1;Katsushika Hokusai;genre painting;;ukiyo-e;The Sumo Wrestlers Takaneyama Yoichiemon and Sendagawa Kichigorō;https://uploads1.wikiart.org/00305/images/katsushika-hokusai/the-sumo-wrestlers-takaneyama-yoichiemon-and-sendagawa-kichigor-c1793.jpg!Large.jpg;1793
2;Katsushika Hokusai;genre painting;;ukiyo-e;Women walking in a garden;https://uploads6.wikiart.org/images/katsushika-hokusai/women-walking-in-a-garden.jpg!Large.jpg;1798
3;Katsushika Hokusai;genre painting;;ukiyo-e;Woman in an Interior;https://uploads1.wikiart.org/images/katsushika-hokusai/woman-in-an-interior.jpg!Large.jpg;1799
4;Katsushika Hokusai;genre painting;;ukiyo-e;Teahouse Umeyashiki;https://uploads8.wikiart.org/images/katsushika-hokusai/teahouse-umeyashiki.jpg;1802
5;Katsushika Hokusai;landscape;;ukiyo-e;View of Honmoku;https://uploads5.wikiart.org/images/katsushika-hokusai/view-of-honmoku.jpg!Large.jpg;1803
6;Katsushika Hokusai;marina;;ukiyo-e;Cargo ship and wave;https://uploads0.wikiart.org/images/katsushika-hokusai/cargo-ship-and-wave.jpg!Large.jpg;1805
7;Katsushika Hokusai;genre painting;ink;ukiyo-e;Woman Looking at Herself in a Mirror;https://uploads8.wikiart.org/images/katsushika-hokusai/woman-looking-at-herself-in-a-mirror.jpg!Large.jpg;1805
8;Katsushika Hokusai;genre painting;;ukiyo-e;Primer Book of Treasury loyal vassals;https://uploads0.wikiart.org/images/katsushika-hokusai/primer-book-of-treasury-loyal-vassals.jpg!Large.jpg;1806
9;Katsushika Hokusai;mythological painting;;ukiyo-e;Ningyo;https://uploads4.wikiart.org/images/katsushika-hokusai/ningyo.jpg;1808
10;Katsushika Hokusai;mythological painting;;ukiyo-e;Ōnmyo Imoseyama;https://uploads4.wikiart.org/images/katsushika-hokusai/ōnmyo-imoseyama.jpg;1810
11;Katsushika Hokusai;genre painting;woodcut;ukiyo-e;New Year's Days of the Teahouse Ogi-ya;https://uploads6.wikiart.org/images/katsushika-hokusai/new-year-s-days-of-the-teahouse-ogi-ya-1812.jpg!Large.jpg;1812
12;Katsushika Hokusai;illustration;;ukiyo-e;The giant mountain man;https://uploads2.wikiart.org/images/katsushika-hokusai/the-giant-mountain-man.jpg;1812
13;Katsushika Hokusai;literary painting;woodcut,paper;ukiyo-e;The Dream of the Fisherman's Wife;https://uploads3.wikiart.org/images/katsushika-hokusai/not_detected_223528(2).jpg!Large.jpg;
14;Katsushika Hokusai;nude painting (nu);;ukiyo-e;The Adonis Plant;https://uploads6.wikiart.org/images/katsushika-hokusai/fukujuso.jpg;1815
15;Katsushika Hokusai;nude painting (nu);woodcut;ukiyo-e;The Adonis plant;https://uploads2.wikiart.org/images/katsushika-hokusai/not_detected_223503(1).jpg;1815
16;Katsushika Hokusai;nude painting (nu);woodcut;ukiyo-e;The Adonis plant;https://uploads3.wikiart.org/images/katsushika-hokusai/not_detected_223504(1).jpg!Large.jpg;1815
17;Katsushika Hokusai;nude painting (nu);woodcut;ukiyo-e;The Adonis plant;https://uploads3.wikiart.org/images/katsushika-hokusai/not_detected_223505(2).jpg!Large.jpg;1815
18;Katsushika Hokusai;landscape;woodcut;ukiyo-e;Rainstorm beneath the Summit;https://uploads0.wikiart.org/images/katsushika-hokusai/rainstorm-beneath-the-summit.jpg!Large.jpg;1821
19;Katsushika Hokusai;still life;woodcut;ukiyo-e;Wooden Horse;https://uploads2.wikiart.org/images/katsushika-hokusai/wooden-horse.jpg!Large.jpg;1822
20;Katsushika Hokusai;animal painting;;ukiyo-e;Cranes from Quick Lessons in Simplified Drawing;https://uploads1.wikiart.org/images/katsushika-hokusai/cranes-from-quick-lessons-in-simplified-drawing.jpg!Large.jpg;1823
21;Katsushika Hokusai;nude painting (nu);;ukiyo-e;Masturbation and voyeurism;https://uploads8.wikiart.org/images/katsushika-hokusai/not_detected_223529.jpg;1824
22;Katsushika Hokusai;genre painting;;ukiyo-e;Street scenes newly pubished;https://uploads2.wikiart.org/images/katsushika-hokusai/street-scenes-newly-pubished-2.jpg!Large.jpg;1825
