;artist;genre;media;style;title;url;year
0;L. S. Lowry;still life;;realism;Still Life;https://uploads7.wikiart.org/00169/images/l-s-lowry/still-life-1906.jpg!Large.jpg;1906
1;L. S. Lowry;still life;;;Chinese Lantern and Oranges;https://uploads6.wikiart.org/00169/images/l-s-lowry/chinese-lantern-and-oranges-1908.jpg!Large.jpg;1908
2;L. S. Lowry;portrait;;symbolism,post-impressionism;Portrait of Male Model;https://uploads1.wikiart.org/00169/images/l-s-lowry/portrait-of-male-model-1908.jpg!Large.jpg;1908
3;L. S. Lowry;cityscape;;symbolism;Arden's Farm, Swinton;https://uploads8.wikiart.org/00169/images/l-s-lowry/arden-s-farm-swinton-1909.jpg!Large.jpg;1909
4;L. S. Lowry;portrait;;post-impressionism;Portrait of the Artist's Father;https://uploads1.wikiart.org/00169/images/l-s-lowry/portrait-of-the-artist-s-father-1910.jpg!Large.jpg;1910
5;L. S. Lowry;landscape;;post-impressionism;Clifton Junction, Morning;https://uploads3.wikiart.org/00169/images/l-s-lowry/clifton-junction-morning-1910.jpg!Large.jpg;1910
6;L. S. Lowry;landscape;;post-impressionism;Clifton Junction, Evening;https://uploads3.wikiart.org/00169/images/l-s-lowry/clifton-junction-evening-1910.jpg!Large.jpg;1910
7;L. S. Lowry;portrait;;post-impressionism,expressionism;Portrait of the Artist's Mother;https://uploads1.wikiart.org/00169/images/l-s-lowry/portrait-of-the-artist-s-mother-1912.jpg!Large.jpg;1912
8;L. S. Lowry;cityscape;;post-impressionism,impressionism;Landscape;https://uploads6.wikiart.org/00169/images/l-s-lowry/landscape-1912.jpg!Large.jpg;1912
9;L. S. Lowry;portrait;;post-impressionism,expressionism;Head of a Bald Man;https://uploads6.wikiart.org/00169/images/l-s-lowry/head-of-a-bald-man-1914.jpg!Large.jpg;1914
10;L. S. Lowry;portrait;;symbolism,post-impressionism;Portrait of a Boy;https://uploads5.wikiart.org/00169/images/l-s-lowry/portrait-of-a-boy-1914.jpg!Large.jpg;1914
11;L. S. Lowry;landscape;;naïve art (primitivism),post-impressionism;Country Lane;https://uploads0.wikiart.org/00169/images/l-s-lowry/country-lane-1914.jpg!Large.jpg;1914
12;L. S. Lowry;;;expressionism,naïve art (primitivism);Pit Tragedy;https://uploads8.wikiart.org/00169/images/l-s-lowry/pit-tragedy-1919.jpg!Large.jpg;1919
13;L. S. Lowry;portrait;;expressionism,art deco;Frank Jopling Fletcher;https://uploads1.wikiart.org/00169/images/l-s-lowry/frank-jopling-fletcher-1919.jpg!Large.jpg;1919
14;L. S. Lowry;genre painting;;expressionism,naïve art (primitivism);A Doctor's Waiting Room;https://uploads2.wikiart.org/00169/images/l-s-lowry/a-doctor-s-waiting-room-1920.jpg!Large.jpg;1920
15;L. S. Lowry;portrait;;expressionism;Woman in a Chair;https://uploads4.wikiart.org/00169/images/l-s-lowry/woman-in-a-chair-1921.jpg!Large.jpg;1921
16;L. S. Lowry;marina;;post-impressionism,expressionism;Swinton Mos;https://uploads0.wikiart.org/00169/images/l-s-lowry/swinton-moss-1922.jpg!Large.jpg;1922
17;L. S. Lowry;cityscape;;expressionism,naïve art (primitivism);A Manufacturing Town;https://uploads8.wikiart.org/00169/images/l-s-lowry/a-manufacturing-town-1922.jpg!Large.jpg;1922
18;L. S. Lowry;cityscape;;naïve art (primitivism),post-impressionism;Old Salford Street Scene;https://uploads3.wikiart.org/00169/images/l-s-lowry/old-salford-street-scene-1922.jpg!Large.jpg;1922
19;L. S. Lowry;self-portrait;;post-impressionism,expressionism;Self Portrait;https://uploads1.wikiart.org/00169/images/l-s-lowry/self-portrait-1925.jpg!Large.jpg;1925
20;L. S. Lowry;cityscape;;naïve art (primitivism);Going to the Mill;https://uploads5.wikiart.org/00169/images/l-s-lowry/going-to-the-mill-1925.jpg!Large.jpg;1925
21;L. S. Lowry;cityscape;;naïve art (primitivism),expressionism;Street Scene (verso);https://uploads6.wikiart.org/00169/images/l-s-lowry/street-scene-verso-1925.jpg!Large.jpg;1925
22;L. S. Lowry;genre painting;;naïve art (primitivism);The Arrest;https://uploads7.wikiart.org/00169/images/l-s-lowry/the-arrest-1927.jpg!Large.jpg;1927
23;L. S. Lowry;cityscape;;expressionism,naïve art (primitivism);Dwelling, Ordsall Lane, Salford;https://uploads8.wikiart.org/00169/images/l-s-lowry/dwelling-ordsall-lane-salford-1927.jpg!Large.jpg;1927
24;L. S. Lowry;cityscape;;expressionism,naïve art (primitivism);Peel Park, Salford;https://uploads5.wikiart.org/00169/images/l-s-lowry/peel-park-salford-1927.jpg!Large.jpg;1927
25;L. S. Lowry;portrait;;expressionism;Girl in a Cloche Hat;https://uploads8.wikiart.org/00169/images/l-s-lowry/girl-in-a-cloche-hat-1927.jpg!Large.jpg;1927
26;L. S. Lowry;cityscape;oil,wood;naïve art (primitivism);Coming Out of School;https://uploads8.wikiart.org/00169/images/l-s-lowry/coming-out-of-school-1927.jpg!Large.jpg;1927
27;L. S. Lowry;cityscape;;naïve art (primitivism);A Street Scene (St Simon's Church);https://uploads2.wikiart.org/00169/images/l-s-lowry/a-street-scene-st-simon-s-church-1928.jpg!Large.jpg;1928
28;L. S. Lowry;cityscape;;naïve art (primitivism);The Mill Gates;https://uploads2.wikiart.org/00169/images/l-s-lowry/the-mill-gates-1928.jpg!Large.jpg;1928
29;L. S. Lowry;cityscape;;naïve art (primitivism);Coming Home from the Mill;https://uploads4.wikiart.org/00169/images/l-s-lowry/coming-home-from-the-mill-1928.jpg!Large.jpg;1928
30;L. S. Lowry;cityscape;;naïve art (primitivism);Bandstand, Peel Park;https://uploads7.wikiart.org/00169/images/l-s-lowry/bandstand-peel-park-1928.jpg!Large.jpg;1928
31;L. S. Lowry;cityscape;;naïve art (primitivism);A Procession;https://uploads0.wikiart.org/00169/images/l-s-lowry/a-procession-1929.jpg!Large.jpg;1929
32;L. S. Lowry;cityscape;;naïve art (primitivism);Coming from the Mill;https://uploads8.wikiart.org/00169/images/l-s-lowry/coming-from-the-mill-1930.jpg!Large.jpg;1930
33;L. S. Lowry;cityscape;;naïve art (primitivism);Crowther Street, Stockport, Cheshire;https://uploads4.wikiart.org/00169/images/l-s-lowry/crowther-street-stockport-cheshire-1930.jpg!Large.jpg;1930
34;L. S. Lowry;cityscape;;naïve art (primitivism);The Empty House;https://uploads3.wikiart.org/00169/images/l-s-lowry/the-empty-house-1934.jpg!Large.jpg;1934
