;artist;genre;media;style;title;url;year
0;M.C. Escher;symbolic painting;;surrealism;Bookplate Bastiaan Kist;https://uploads4.wikiart.org/images/m-c-escher/bookplate-bastiaan-kist.jpg;1916
1;M.C. Escher;flower painting;;realism;Chrysanthemum;https://uploads3.wikiart.org/images/m-c-escher/chrysanthemum.jpg;1916
2;M.C. Escher;portrait;;expressionism;Escher's Father;https://uploads5.wikiart.org/images/m-c-escher/escher-s-father.jpg;1916
3;M.C. Escher;portrait;;expressionism;Head of a Child;https://uploads5.wikiart.org/images/m-c-escher/head-of-a-child.jpg;1916
4;M.C. Escher;portrait;;expressionism;Baby;https://uploads3.wikiart.org/images/m-c-escher/baby.jpg;1917
5;M.C. Escher;still life;;expressionism;Mascot;https://uploads5.wikiart.org/images/m-c-escher/mascot.jpg;1917
6;M.C. Escher;animal painting;;expressionism;Hen with Egg;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204642.jpg;1917
7;M.C. Escher;still life;;expressionism;NOT DETECTED;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204644.jpg;1917
8;M.C. Escher;portrait;;expressionism;Portrait of a Man;https://uploads7.wikiart.org/images/m-c-escher/portrait-of-a-man.jpg;1917
9;M.C. Escher;landscape;;realism;Railway Bridge, Oosterbeek;https://uploads6.wikiart.org/images/m-c-escher/railway-bridge-oosterbeek.jpg;1917
10;M.C. Escher;self-portrait;;expressionism;Self Portrait II;https://uploads6.wikiart.org/images/m-c-escher/self-portrait-ii.jpg;1917
11;M.C. Escher;vanitas;;expressionism;Skull;https://uploads4.wikiart.org/images/m-c-escher/skull.jpg;1917
12;M.C. Escher;allegorical painting;pencil,chalk,paper;expressionism;Skull with Cigarette;https://uploads3.wikiart.org/00277/images/m-c-escher/escher-skull-with-cigarette.jpg!Large.jpg;1917
13;M.C. Escher;animal painting;;expressionism;Young Thrush;https://uploads2.wikiart.org/images/m-c-escher/young-thrush.jpg;1917
14;M.C. Escher;portrait;;expressionism;Fiet van Stolk;https://uploads4.wikiart.org/images/m-c-escher/fiet-van-stolk.jpg;1918
15;M.C. Escher;landscape;;expressionism;Two bells;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204645.jpg;1918
16;M.C. Escher;self-portrait;;expressionism;Self Portrait;https://uploads3.wikiart.org/images/m-c-escher/self-portrait.jpg;1918
17;M.C. Escher;flower painting;;expressionism;Sunflowers;https://uploads1.wikiart.org/images/m-c-escher/sunflowers.jpg!Large.jpg;1918
18;M.C. Escher;poster;;expressionism;The Rag Pickers;https://uploads5.wikiart.org/images/m-c-escher/the-rag-pickers.jpg;1918
19;M.C. Escher;flower painting;;expressionism;Life Force;https://uploads1.wikiart.org/images/m-c-escher/life-force.jpg!Large.jpg;1919
20;M.C. Escher;landscape;;surrealism;Blocks of Basalt along the Sea;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204646.jpg;1919
21;M.C. Escher;animal painting;;expressionism;Parrot;https://uploads6.wikiart.org/images/m-c-escher/parrot.jpg!Large.jpg;1919
22;M.C. Escher;portrait;;cubism;Portrait of a Bearded Man;https://uploads7.wikiart.org/images/m-c-escher/portrait-of-a-bearded-man.jpg!Large.jpg;1919
23;M.C. Escher;still life;;op art;Sea Shells;https://uploads1.wikiart.org/images/m-c-escher/sea-shells.jpg!Large.jpg;1919
24;M.C. Escher;portrait;;expressionism;Seated Man with Cat on His Lap;https://uploads2.wikiart.org/images/m-c-escher/seated-man-with-cat-on-his-lap.jpg;1919
25;M.C. Escher;self-portrait;;expressionism;Self Portrait;https://uploads6.wikiart.org/images/m-c-escher/self-portrait-1.jpg!Large.jpg;1919
26;M.C. Escher;vanitas;;expressionism;Skull;https://uploads7.wikiart.org/images/m-c-escher/skull-1.jpg!Large.jpg;1919
27;M.C. Escher;landscape;;op art;The Borger Oak;https://uploads4.wikiart.org/images/m-c-escher/the-borger-oak.jpg;1919
28;M.C. Escher;tessellation;;surrealism;Twon Tree;https://uploads0.wikiart.org/images/m-c-escher/twon-tree.jpg!Large.jpg;1919
29;M.C. Escher;animal painting;;expressionism;White Cat I;https://uploads2.wikiart.org/images/m-c-escher/white-cat-i.jpg!Large.jpg;1919
30;M.C. Escher;animal painting;;expressionism;White Cat II;https://uploads2.wikiart.org/images/m-c-escher/white-cat-ii.jpg;1919
31;M.C. Escher;religious painting;;surrealism;Fall of man;https://uploads2.wikiart.org/images/m-c-escher/fall-of-man.jpg!Large.jpg;1920
32;M.C. Escher;portrait;;expressionism;Father with Magnifying Glass;https://uploads1.wikiart.org/images/m-c-escher/father-with-magnifying-glass.jpg!Large.jpg;1920
33;M.C. Escher;nude painting (nu);;surrealism;Female Nude I;https://uploads3.wikiart.org/images/m-c-escher/female-nude-i.jpg;1920
34;M.C. Escher;nude painting (nu);;surrealism;Female Nude in a Landscape;https://uploads8.wikiart.org/images/m-c-escher/female-nude-in-a-landscape.jpg!Large.jpg;1920
35;M.C. Escher;flower painting;;expressionism;Flower;https://uploads6.wikiart.org/images/m-c-escher/flower.jpg!Large.jpg;1920
36;M.C. Escher;genre painting;;expressionism;In Mesquitas Classroom;https://uploads4.wikiart.org/images/m-c-escher/in-mesquitas-classroom.jpg!Large.jpg;1920
37;M.C. Escher;genre painting;;surrealism;NOT DETECTED;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204648.jpg;1920
38;M.C. Escher;tessellation;woodcut;op art;Sea Shells;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204649.jpg;1920
39;M.C. Escher;nude painting (nu);linocut;cubism;Female Nude in Chair;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204650.jpg;1920
40;M.C. Escher;portrait;;op art;Portrait of a Man;https://uploads0.wikiart.org/images/m-c-escher/portrait-of-a-man-1.jpg;1920
41;M.C. Escher;poster;;expressionism;Poster;https://uploads5.wikiart.org/images/m-c-escher/poster.jpg;1920
42;M.C. Escher;portrait;;expressionism;Roosje Ingen Housz;https://uploads0.wikiart.org/images/m-c-escher/roosje-ingen-housz.jpg!Large.jpg;1920
43;M.C. Escher;nude painting (nu);;cubism;Seated Female Nude I;https://uploads2.wikiart.org/images/m-c-escher/seated-female-nude-i.jpg!Large.jpg;1920
44;M.C. Escher;nude painting (nu);;cubism;Seated Female Nude III;https://uploads4.wikiart.org/images/m-c-escher/seated-female-nude-iii.jpg!Large.jpg;1920
45;M.C. Escher;portrait;;expressionism;Seated Old Woman;https://uploads7.wikiart.org/images/m-c-escher/seated-old-woman.jpg!Large.jpg;1920
46;M.C. Escher;self-portrait;;expressionism;Self Portrait in a Chair;https://uploads6.wikiart.org/images/m-c-escher/self-portrait-in-a-chair.jpg!Large.jpg;1920
47;M.C. Escher;genre painting;woodcut;surrealism;Wild West;https://uploads4.wikiart.org/images/m-c-escher/wild-west-1920.jpg;1920
48;M.C. Escher;illustration;;op art;Flor de Pascua - Beautiful;https://uploads5.wikiart.org/images/m-c-escher/flor-de-pascua-beautiful.jpg;1921
49;M.C. Escher;illustration;;expressionism;Flor de Pascua - Convention;https://uploads6.wikiart.org/images/m-c-escher/flor-de-pascua-convention.jpg;1921
50;M.C. Escher;illustration;;op art;Flor de Pascua - Fulfillment;https://uploads7.wikiart.org/images/m-c-escher/flor-de-pascua-fulfillment.jpg;1921
51;M.C. Escher;illustration;;expressionism;Flor de Pascua - La Pensee;https://uploads5.wikiart.org/images/m-c-escher/flor-de-pascua-la-pensee.jpg;1921
52;M.C. Escher;illustration;;expressionism;Flor de Pascua - The Scapegoat;https://uploads0.wikiart.org/images/m-c-escher/flor-de-pascua-the-scapegoat.jpg;1921
53;M.C. Escher;illustration;;expressionism;Flor de Pascua - The Weathercock;https://uploads2.wikiart.org/images/m-c-escher/flor-de-pascua-the-weathercock.jpg;1921
54;M.C. Escher;illustration;;expressionism;Flor de Pascua - Theosophy;https://uploads5.wikiart.org/images/m-c-escher/flor-de-pascua-theosophy.jpg;1921
55;M.C. Escher;illustration;;expressionism;Flor de Pascua - Untitled;https://uploads4.wikiart.org/images/m-c-escher/flor-de-pascua-untitled.jpg;1921
56;M.C. Escher;illustration;;expressionism;Flor de Pascua - Whore's Superstition;https://uploads7.wikiart.org/images/m-c-escher/flor-de-pascua-whore-s-superstition.jpg;1921
57;M.C. Escher;still life;;expressionism;Hand with Fir Cone;https://uploads0.wikiart.org/images/m-c-escher/hand-with-fir-cone.jpg!Large.jpg;1921
58;M.C. Escher;tessellation;;op art;Plane-Filling Motif with Human Motifs;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204651.jpg;1921
59;M.C. Escher;illustration;;op art;Hand with Fir Cone;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204652.jpg;1921
60;M.C. Escher;figurative;;expressionism;NOT DETECTED;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204653.jpg;1921
61;M.C. Escher;genre painting;;expressionism;Flor de Pascua - Never think before you act;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204654.jpg;1921
62;M.C. Escher;illustration;;expressionism;Flor de Pascua - Madonna;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204655.jpg;1921
63;M.C. Escher;tessellation;;expressionism;NOT DETECTED;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204656.jpg;1921
64;M.C. Escher;landscape;;op art;Wood near Menton;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204657.jpg;1921
65;M.C. Escher;religious painting;;surrealism;Paradise;https://uploads8.wikiart.org/images/m-c-escher/paradise.jpg!Large.jpg;1921
66;M.C. Escher;allegorical painting;;expressionism;Perfume;https://uploads7.wikiart.org/images/m-c-escher/perfume.jpg!Large.jpg;1921
67;M.C. Escher;tessellation;;op art;Plane Filling Motif with Human Figures;https://uploads1.wikiart.org/images/m-c-escher/plane-filling-motif-with-human-figures.jpg;1921
68;M.C. Escher;nude painting (nu);;cubism;Seated Female Nude;https://uploads8.wikiart.org/images/m-c-escher/seated-female-nude.jpg;1921
69;M.C. Escher;nude painting (nu);;expressionism;Seated Female Nude;https://uploads1.wikiart.org/images/m-c-escher/seated-female-nude-1.jpg;1921
70;M.C. Escher;portrait;;surrealism;The Sphere;https://uploads0.wikiart.org/images/m-c-escher/the-sphere.jpg;1921
71;M.C. Escher;abstract;;expressionism;Bookplate B.G. Escher [Beer];https://uploads6.wikiart.org/images/m-c-escher/bookplate-b-g-escher-beer.jpg;1922
72;M.C. Escher;tessellation;;op art;Eight Heads;https://uploads2.wikiart.org/images/m-c-escher/eight-heads.jpg!Large.jpg;1922
73;M.C. Escher;tessellation;;op art;Mural Mosaic in The Alhambra;https://uploads1.wikiart.org/images/m-c-escher/mural-mosaic-in-the-alhambra.jpg!Large.jpg;1922
74;M.C. Escher;poster;;expressionism;NOT DETECTED;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204658.jpg;1922
75;M.C. Escher;landscape;;expressionism;San Gimignano;https://uploads0.wikiart.org/images/m-c-escher/not_detected_204659.jpg;1922
76;M.C. Escher;religious painting;;surrealism;St. Francis preaching to the Birds;https://uploads6.wikiart.org/images/m-c-escher/st-francis-preaching-to-the-birds.jpg!Large.jpg;1922
77;M.C. Escher;landscape;;art nouveau (modern);The Sea at the Mouth of the Ebro;https://uploads5.wikiart.org/images/m-c-escher/the-sea-at-the-mouth-of-the-ebro.jpg!Large.jpg;1922
78;M.C. Escher;animal painting;;op art;Dolphins;https://uploads8.wikiart.org/images/m-c-escher/dolphins.jpg!Large.jpg;1923
79;M.C. Escher;landscape;;expressionism;Palm Tree;https://uploads0.wikiart.org/images/m-c-escher/palm-tree.jpg!Large.jpg;1923
80;M.C. Escher;sketch and study;;expressionism;Palm Tree sketch;https://uploads7.wikiart.org/images/m-c-escher/palm-tree-sketch.jpg!Large.jpg;1923
81;M.C. Escher;flower painting;;surrealism;Ravello I;https://uploads0.wikiart.org/images/m-c-escher/ravello-i.jpg!Large.jpg;1923
82;M.C. Escher;landscape;;surrealism;Ravello II;https://uploads1.wikiart.org/images/m-c-escher/ravello-ii.jpg!Large.jpg;1923
83;M.C. Escher;landscape;;realism;Ravello III;https://uploads2.wikiart.org/images/m-c-escher/ravello-iii.jpg!Large.jpg;1923
84;M.C. Escher;cityscape;;realism;San Gimignano;https://uploads3.wikiart.org/images/m-c-escher/san-gimignano.jpg;1923
85;M.C. Escher;self-portrait;;expressionism;Self-Portrait;https://uploads6.wikiart.org/images/m-c-escher/self-portrait-2.jpg!Large.jpg;1923
86;M.C. Escher;religious painting;;surrealism;Saint Vincent Martyr;https://uploads1.wikiart.org/images/m-c-escher/saint-vincent-martyr.jpg;1925
87;M.C. Escher;animal painting;;op art;The 1st Day of the Creation;https://uploads0.wikiart.org/images/m-c-escher/the-1st-day-of-the-creation.jpg!Large.jpg;1925
88;M.C. Escher;religious painting;;surrealism;The 2nd Day of the Creation;https://uploads0.wikiart.org/images/m-c-escher/the-2nd-day-of-the-creation.jpg!Large.jpg;1925
89;M.C. Escher;landscape;;surrealism;Vitorchiano nel Cimino;https://uploads3.wikiart.org/images/m-c-escher/vitorchiano-nel-cimino.jpg;1925
90;M.C. Escher;tessellation;;expressionism;Birds;https://uploads4.wikiart.org/images/m-c-escher/birds.jpg;1926
