;artist;genre;media;style;title;url;year
0;Pablo Picasso;genre painting;;post-impressionism;The picador;https://uploads1.wikiart.org/images/pablo-picasso/the-picador-1890.jpg!Large.jpg;1890
1;Pablo Picasso;landscape;oil,canvas;post-impressionism;House in the field;https://uploads8.wikiart.org/images/pablo-picasso/house-in-the-field-1893.jpg!Large.jpg;1893
2;Pablo Picasso;sketch and study;;realism;Plaster male torso;https://uploads8.wikiart.org/images/pablo-picasso/plaster-male-torso-1893.jpg!Large.jpg;1893
3;Pablo Picasso;nude painting (nu);oil,canvas;realism;Academical study;https://uploads1.wikiart.org/images/pablo-picasso/academical-study.jpg!Large.jpg;1895
4;Pablo Picasso;portrait;oil,canvas;realism;Bust of young man;https://uploads2.wikiart.org/images/pablo-picasso/bust-of-young-man.jpg!Large.jpg;1895
5;Pablo Picasso;nude painting (nu);oil,canvas;realism;Female nude from back;https://uploads2.wikiart.org/images/pablo-picasso/female-nude-from-back-1895.jpg!Large.jpg;1895
6;Pablo Picasso;portrait;oil,canvas;realism;The barefoot girl;https://uploads7.wikiart.org/images/pablo-picasso/the-barefoot-girl-1895.jpg!Large.jpg;1895
7;Pablo Picasso;portrait;oil,canvas;realism;The old fisherman;https://uploads7.wikiart.org/images/pablo-picasso/the-old-fisherman-1895.jpg!Large.jpg;1895
8;Pablo Picasso;cityscape;oil;impressionism;Alicante, view of boats;https://uploads7.wikiart.org/images/pablo-picasso/alicante-view-of-boats.jpg!Large.jpg;1895
9;Pablo Picasso;landscape;;impressionism;View of the port of Valencia;https://uploads4.wikiart.org/images/pablo-picasso/view-of-the-port-of-valencia.jpg!Large.jpg;1895
10;Pablo Picasso;portrait;watercolor,paper;realism;Artist's mother;https://uploads5.wikiart.org/images/pablo-picasso/artist-s-mother-1896.jpg!Large.jpg;1896
11;Pablo Picasso;genre painting;oil,canvas;realism;First Communion;https://uploads5.wikiart.org/images/pablo-picasso/first-communion-1896.jpg!Large.jpg;
12;Pablo Picasso;portrait;oil,canvas;realism;Head of a child;https://uploads5.wikiart.org/images/pablo-picasso/head-of-a-child-1896.jpg!Large.jpg;1896
13;Pablo Picasso;portrait;oil,canvas;realism;Portrait of aunt Pepa;https://uploads2.wikiart.org/images/pablo-picasso/portrait-of-aunt-pepa-1896.jpg!Large.jpg;1896
14;Pablo Picasso;portrait;oil,canvas;realism;Portrait of the Artist's Mother;https://uploads3.wikiart.org/images/pablo-picasso/portrait-of-the-artist-s-mother-1896.jpg!Large.jpg;1896
15;Pablo Picasso;landscape;oil,canvas;realism;Quarries;https://uploads7.wikiart.org/images/pablo-picasso/quarries-1896.jpg!Large.jpg;1896
16;Pablo Picasso;self-portrait;oil,canvas;realism;Self-Portrait;https://uploads3.wikiart.org/images/pablo-picasso/self-portrait-1896.jpg!Large.jpg;1896
17;Pablo Picasso;genre painting;;realism;The altarboy;https://uploads2.wikiart.org/images/pablo-picasso/the-altarboy-1896.jpg!Large.jpg;1896
18;Pablo Picasso;advertisement;;art nouveau (modern);"Advertisement for tavern ""Four cats""";https://uploads6.wikiart.org/images/pablo-picasso/advertisement-for-tavern-four-cats-1897.jpg!Large.jpg;1897
19;Pablo Picasso;genre painting;oil,canvas;realism;Science and Charity;https://uploads0.wikiart.org/images/pablo-picasso/science-and-charity-1897.jpg!Large.jpg;1897
20;Pablo Picasso;animal painting;;realism;Mule;https://uploads0.wikiart.org/images/pablo-picasso/mule-1.jpg!Large.jpg;1898
21;Pablo Picasso;portrait;oil,canvas;realism;Head of a Man in El Greco style;https://uploads3.wikiart.org/images/pablo-picasso/head-of-a-man-in-el-greco-style-1899.jpg!Large.jpg;1899
22;Pablo Picasso;portrait;charcoal,gouache,watercolor,paper;expressionism;La chata;https://uploads7.wikiart.org/images/pablo-picasso/la-chata-1899.jpg!Large.jpg;1899
23;Pablo Picasso;portrait;oil,canvas;impressionism;Lola;https://uploads3.wikiart.org/images/pablo-picasso/lola-1899.jpg!Large.jpg;1899
24;Pablo Picasso;portrait;oil,canvas;realism;Portrait of Casagemas;https://uploads6.wikiart.org/images/pablo-picasso/portrait-of-casagemas.jpg!Large.jpg;1899
25;Pablo Picasso;genre painting;oil,canvas;impressionism;Portrait of Josep Cardona;https://uploads6.wikiart.org/images/pablo-picasso/portrait-of-josep-cardona-1899.jpg!Large.jpg;1899
26;Pablo Picasso;genre painting;pastel,paper;post-impressionism;A spanish couple in front of inn;https://uploads4.wikiart.org/images/pablo-picasso/a-spanish-couple-in-front-of-inn-1900.jpg!Large.jpg;1900
27;Pablo Picasso;genre painting;;post-impressionism;Bullfighters and bull waiting for the next move;https://uploads1.wikiart.org/images/pablo-picasso/bullfighters-and-bull-waiting-for-the-next-move-1900.jpg!Large.jpg;1900
28;Pablo Picasso;genre painting;oil,cardboard;post-impressionism;Embrace;https://uploads6.wikiart.org/images/pablo-picasso/embrace-1900.jpg!Large.jpg;1900
29;Pablo Picasso;genre painting;;impressionism;Fairground;https://uploads0.wikiart.org/images/pablo-picasso/fairground-1900.jpg!Large.jpg;
30;Pablo Picasso;genre painting;pastel,paper;post-impressionism;Gypsy in front of Musca;https://uploads4.wikiart.org/images/pablo-picasso/gypsy-in-front-of-musca-1900.jpg!Large.jpg;1900
31;Pablo Picasso;genre painting;pastel,paper;post-impressionism;Lovers of the street;https://uploads1.wikiart.org/images/pablo-picasso/lovers-of-the-street-1900.jpg!Large.jpg;
32;Pablo Picasso;genre painting;oil,canvas;post-impressionism;Moulin de la Galette;https://uploads1.wikiart.org/images/pablo-picasso/moulin-de-la-galette-1900.jpg!Large.jpg;1900
33;Pablo Picasso;genre painting;watercolor,paper;expressionism;Picador;https://uploads6.wikiart.org/images/pablo-picasso/picador-1900.jpg!Large.jpg;1900
34;Pablo Picasso;genre painting;oil,canvas;post-impressionism,symbolism;Pierrot and Colombina;https://uploads2.wikiart.org/images/pablo-picasso/pierrot-and-colombina-1900.jpg!Large.jpg;
35;Pablo Picasso;self-portrait;charcoal,paper;realism;Self-Portrait;https://uploads7.wikiart.org/images/pablo-picasso/self-portrait.jpg!Large.jpg;1900
36;Pablo Picasso;genre painting;pastel,paper;impressionism;Snackbar in the  open air;https://uploads5.wikiart.org/images/pablo-picasso/snackbar-in-the-open-air-1900.jpg!Large.jpg;1900
37;Pablo Picasso;genre painting;oil,panel;impressionism;Stuffed shirts;https://uploads4.wikiart.org/images/pablo-picasso/stuffed-shirts-1900.jpg!Large.jpg;1900
38;Pablo Picasso;genre painting;oil,canvas;expressionism;The brutal embrace;https://uploads8.wikiart.org/images/pablo-picasso/the-brutal-embrace-1900.jpg!Large.jpg;1900
39;Pablo Picasso;nude painting (nu);charcoal,paper;art nouveau (modern);The cries of virgins;https://uploads1.wikiart.org/images/pablo-picasso/the-cries-of-virgins-1900.jpg!Large.jpg;
40;Pablo Picasso;cityscape;oil,wood;expressionism;View of Riera de Sant Joan from the window;https://uploads5.wikiart.org/images/pablo-picasso/view-of-riera-de-sant-joan-from-the-window-1900.jpg!Large.jpg;1900
41;Pablo Picasso;genre painting;pastel,paper;impressionism;Woman with Cat;https://uploads4.wikiart.org/images/pablo-picasso/woman-with-cat-1900.jpg!Large.jpg;1900
42;Pablo Picasso;portrait;;expressionism;Sabartes as decadent poet;https://uploads1.wikiart.org/images/pablo-picasso/sabartes-as-decadent-poet.jpg!Large.jpg;1900
43;Pablo Picasso;genre painting;oil,canvas;post-impressionism;A blue room (A tub);https://uploads7.wikiart.org/images/pablo-picasso/a-blue-room-a-tub-1901.jpg!Large.jpg;
44;Pablo Picasso;genre painting;pastel,paper;expressionism;A red skirt;https://uploads1.wikiart.org/images/pablo-picasso/a-red-skirt-1901.jpg!Large.jpg;
45;Pablo Picasso;genre painting;oil,canvas;post-impressionism;Bullfight scene;https://uploads5.wikiart.org/images/pablo-picasso/bullfight-scene-1901.jpg!Large.jpg;
46;Pablo Picasso;genre painting;oil,canvas;post-impressionism;Child with dove;https://uploads5.wikiart.org/images/pablo-picasso/child-with-dove-1901.jpg!Large.jpg;1901
47;Pablo Picasso;genre painting;indian ink,watercolor,paper;art nouveau (modern);Couple walking;https://uploads4.wikiart.org/images/pablo-picasso/couple-walking-1901.jpg!Large.jpg;
48;Pablo Picasso;portrait;;art nouveau (modern);Courtesan with necklace of gems;https://uploads3.wikiart.org/images/pablo-picasso/courtesan-with-necklace-of-gems-1901.jpg!Large.jpg;
49;Pablo Picasso;genre painting;oil,cardboard;impressionism;Crossind Seine on the upper deck;https://uploads4.wikiart.org/images/pablo-picasso/crossind-seine-on-the-upper-deck-1901.jpg!Large.jpg;1901
50;Pablo Picasso;symbolic painting;oil,canvas;symbolism;Evocation (The Burial of Casagemas);https://uploads5.wikiart.org/images/pablo-picasso/evocation-the-burial-of-casagemas-1901.jpg!Large.jpg;
51;Pablo Picasso;genre painting;oil,cardboard;impressionism;Flower seller;https://uploads3.wikiart.org/images/pablo-picasso/flower-seller-1901.jpg!Large.jpg;
52;Pablo Picasso;portrait;oil,canvas;post-impressionism;Harlequin leaning;https://uploads7.wikiart.org/images/pablo-picasso/harlequin-leaning-1901.jpg!Large.jpg;
53;Pablo Picasso;portrait;oil,cardboard;impressionism;Head of woman;https://uploads3.wikiart.org/images/pablo-picasso/head-of-woman-1901.jpg!Large.jpg;
54;Pablo Picasso;nude painting (nu);oil,canvas;post-impressionism;Jeanne (Reclining nude);https://uploads2.wikiart.org/images/pablo-picasso/jeanne-reclining-nude-1901.jpg!Large.jpg;
55;Pablo Picasso;genre painting;oil,cardboard;impressionism;Longchamp;https://uploads8.wikiart.org/images/pablo-picasso/longchamp-1901.jpg!Large.jpg;1901
56;Pablo Picasso;portrait;;impressionism;Madrilenian (Head of young woman);https://uploads3.wikiart.org/images/pablo-picasso/madrilenian-head-of-young-woman-1901.jpg!Large.jpg;
57;Pablo Picasso;genre painting;;post-impressionism;Mother and child behind the bouquet of flowers;https://uploads0.wikiart.org/images/pablo-picasso/mother-and-child-behind-the-bouquet-of-flowers-1901.jpg!Large.jpg;
58;Pablo Picasso;genre painting;oil,canvas;post-impressionism;Motherhood;https://uploads0.wikiart.org/images/pablo-picasso/motherhood-1901.jpg!Large.jpg;1901
59;Pablo Picasso;genre painting;oil,canvas;post-impressionism;Motherhood;https://uploads2.wikiart.org/images/pablo-picasso/motherhood-1901-1.jpg!Large.jpg;1901
60;Pablo Picasso;portrait;oil,cardboard;post-impressionism;Nana;https://uploads3.wikiart.org/images/pablo-picasso/nana-1901.jpg!Large.jpg;1901
61;Pablo Picasso;genre painting;;expressionism;Pablo Picasso and Sebastìa Junyer-Vidal arrives to Paris;https://uploads1.wikiart.org/images/pablo-picasso/pablo-picasso-and-sebastìa-junyer-vidal-arrives-to-paris-1901.jpg!Large.jpg;1901
62;Pablo Picasso;genre painting;;expressionism;Pablo Picasso and Sebastìa Junyer-Vidal arrives to Paris;https://uploads3.wikiart.org/images/pablo-picasso/pablo-picasso-and-sebastìa-junyer-vidal-arrives-to-paris-1901-1.jpg!Large.jpg;1901
63;Pablo Picasso;genre painting;ink,watercolor,paper;art nouveau (modern);Picasso with partner;https://uploads1.wikiart.org/images/pablo-picasso/picasso-with-partner-1901.jpg!Large.jpg;
64;Pablo Picasso;portrait;oil,cardboard;post-impressionism;Pierreuse with her hand on her shoulder;https://uploads2.wikiart.org/images/pablo-picasso/pierreuse-with-her-hand-on-her-shoulder-1901.jpg!Large.jpg;
65;Pablo Picasso;portrait;;impressionism;Portrait of Bibi la Purée;https://uploads6.wikiart.org/images/pablo-picasso/portrait-of-bibi-la-purée-1901.jpg!Large.jpg;1901
66;Pablo Picasso;portrait;oil,cardboard;impressionism;Portrait of Gustave Coquiot;https://uploads8.wikiart.org/images/pablo-picasso/portrait-of-gustave-coquiot-1901.jpg!Large.jpg;1901
67;Pablo Picasso;portrait;oil,canvas;post-impressionism;Portrait of Gustave Coquiot;https://uploads1.wikiart.org/images/pablo-picasso/portrait-of-gustave-coquiot-1901-1.jpg!Large.jpg;1901
68;Pablo Picasso;portrait;oil,canvas;post-impressionism;Portrait of Jaime Sabartes;https://uploads7.wikiart.org/images/pablo-picasso/portrait-of-jaime-sabartes-1901.jpg!Large.jpg;
69;Pablo Picasso;portrait;;expressionism;Portrait of Jaime Sabartes (The bock);https://uploads7.wikiart.org/images/pablo-picasso/portrait-of-jaime-sabartes-the-bock-1901.jpg!Large.jpg;
70;Pablo Picasso;portrait;;post-impressionism;Portrait of Mateu Fernandez de Soto;https://uploads7.wikiart.org/images/pablo-picasso/portrait-of-mateu-fernandez-de-soto-1901.jpg!Large.jpg;
71;Pablo Picasso;portrait;oil,canvas;post-impressionism;Portrait of Petrus Manach;https://uploads6.wikiart.org/images/pablo-picasso/portrait-of-petrus-manach-1901.jpg!Large.jpg;1901
72;Pablo Picasso;portrait;oil,canvas;post-impressionism;Profile of a young girl (Girl with red flower in her hair);https://uploads1.wikiart.org/images/pablo-picasso/profile-of-a-young-girl-girl-with-red-flower-in-her-hair-1901.jpg!Large.jpg;
73;Pablo Picasso;genre painting;oil,panel;impressionism;Public Garden;https://uploads3.wikiart.org/images/pablo-picasso/public-garden-1901.jpg!Large.jpg;1901
74;Pablo Picasso;portrait;gouache,indian ink,paper;japonism;Sada Yacco;https://uploads0.wikiart.org/images/pablo-picasso/sada-yacco-1901.jpg!Large.jpg;1901
75;Pablo Picasso;portrait;indian ink,watercolor,paper;post-impressionism;Seated woman in green;https://uploads2.wikiart.org/images/pablo-picasso/seated-woman-in-green-1901.jpg!Large.jpg;
76;Pablo Picasso;self-portrait;oil,canvas;expressionism;Self-Portrait;https://uploads3.wikiart.org/images/pablo-picasso/self-portrait-1901.jpg!Large.jpg;
77;Pablo Picasso;self-portrait;oil,canvas;expressionism;Self-Portrait;https://uploads5.wikiart.org/images/pablo-picasso/self-portrait-1901-1.jpg!Large.jpg;1901
78;Pablo Picasso;self-portrait;oil,canvas;expressionism;Self-Portrait;https://uploads5.wikiart.org/images/pablo-picasso/self-portrait-1901-2.jpg!Large.jpg;1901
79;Pablo Picasso;self-portrait;oil,canvas;impressionism;Self-Portrait;https://uploads5.wikiart.org/images/pablo-picasso/self-portrait-1901-3.jpg!Large.jpg;1901
80;Pablo Picasso;still life;oil,canvas;post-impressionism;Still life (The dessert);https://uploads3.wikiart.org/images/pablo-picasso/still-life-the-dessert-1901.jpg!Large.jpg;
