;artist;genre;media;style;title;url;year
0;Piet Mondrian;portrait;chalk,paper;impressionism;Girl Writing;https://uploads2.wikiart.org/images/piet-mondrian/girl-writing-1895.jpg!Large.jpg;
1;Piet Mondrian;cityscape;charcoal,gouache,pastel,pencil,watercolor,paper;post-impressionism;Village Church;https://uploads4.wikiart.org/images/piet-mondrian/village-church-1898.jpg!Large.jpg;1898
2;Piet Mondrian;landscape;gouache;post-impressionism;At Work / On the Land;https://uploads0.wikiart.org/images/piet-mondrian/at-work-on-the-land-1898.jpg!Large.jpg;
3;Piet Mondrian;cityscape;;post-impressionism;not identified;https://uploads1.wikiart.org/images/piet-mondrian/not-identified-1.jpg!Large.jpg;1898
4;Piet Mondrian;landscape;watercolor;post-impressionism;View of Winterswijk;https://uploads0.wikiart.org/images/piet-mondrian/view-of-winterswijk-1899.jpg!Large.jpg;
5;Piet Mondrian;landscape;gouache,watercolor,paper;post-impressionism;Wood with Beech Trees;https://uploads5.wikiart.org/images/piet-mondrian/wood-with-beech-trees.jpg;1899
6;Piet Mondrian;marina;;impressionism;Moored ships Sun;https://uploads1.wikiart.org/images/piet-mondrian/moored-ships-sun.jpg!Large.jpg;1899
7;Piet Mondrian;portrait;gouache;post-impressionism;On the Lappenbrink;https://uploads3.wikiart.org/images/piet-mondrian/on-the-lappenbrink.jpg!Large.jpg;
8;Piet Mondrian;portrait;;impressionism;Woman and child in front of a farm;https://uploads1.wikiart.org/images/piet-mondrian/woman-and-child-in-front-of-a-farm.jpg!Large.jpg;1899
9;Piet Mondrian;cityscape;;impressionism;Schinkelbuurtje Sun;https://uploads4.wikiart.org/images/piet-mondrian/schinkelbuurtje-sun.jpg!Large.jpg;1899
10;Piet Mondrian;marina;charcoal,pastel,watercolor,paper;post-impressionism;Going Fishing;https://uploads3.wikiart.org/images/piet-mondrian/going-fishing-1900.jpg!Large.jpg;1900
11;Piet Mondrian;self-portrait;oil,canvas;impressionism;Self Portrait;https://uploads3.wikiart.org/images/piet-mondrian/self-portrait-1900.jpg!Large.jpg;
12;Piet Mondrian;portrait;oil,canvas;impressionism;Portrait of a Girl with Flowers;https://uploads0.wikiart.org/images/piet-mondrian/portrait-of-a-girl-with-flowers-1.jpg!Large.jpg;
13;Piet Mondrian;landscape;gouache,watercolor,paper;post-impressionism;Triangulated Farmhouse Facade with Polder in Blue;https://uploads7.wikiart.org/images/piet-mondrian/triangulated-farmhouse-facade-with-polder-in-blue.jpg!Large.jpg;1900
14;Piet Mondrian;landscape;;impressionism;Evening at Weesperzijde Sun;https://uploads3.wikiart.org/images/piet-mondrian/evening-at-weesperzijde-sun.jpg!Large.jpg;1900
15;Piet Mondrian;landscape;oil,canvas;impressionism;Irrigation Ditch with Mature Willow;https://uploads2.wikiart.org/images/piet-mondrian/irrigation-ditch-with-mature-willow.jpg!Large.jpg;1902
16;Piet Mondrian;landscape;oil,canvas;impressionism;Along the Amstel;https://uploads5.wikiart.org/images/piet-mondrian/along-the-amstel-1903.jpg;1903
17;Piet Mondrian;landscape;;post-impressionism;not identified;https://uploads1.wikiart.org/images/piet-mondrian/not-identified-3.jpg!Large.jpg;1903
18;Piet Mondrian;landscape;gouache,watercolor,paper;post-impressionism;Small farm on Nistelrode;https://uploads5.wikiart.org/images/piet-mondrian/small-farm-on-nistelrode-1904.jpg!Large.jpg;1904
19;Piet Mondrian;cityscape;;impressionism;Mill of Heeswijk Sun;https://uploads5.wikiart.org/images/piet-mondrian/mill-of-heeswijk-sun.jpg!Large.jpg;1904
