;artist;genre;media;style;title;url;year
0;Roy Lichtenstein;abstract;oil;pop art;The Valve;https://uploads7.wikiart.org/00101/images/roy-lichtenstein/c5ddc76ac97eea916dd733efd4b55fe0.jpg!Large.jpg;1954
1;Roy Lichtenstein;figurative;;expressionism,pop art;Mickey Mouse I;https://uploads6.wikiart.org/00304/images/roy-lichtenstein/4050.jpg!Large.jpg;1958
2;Roy Lichtenstein;genre painting;oil,canvas;pop art;Bread in bag;https://uploads4.wikiart.org/images/roy-lichtenstein/bread-in-bag-1961.jpg;1961
3;Roy Lichtenstein;portrait;oil,canvas;pop art;Girl with ball;https://uploads0.wikiart.org/images/roy-lichtenstein/girl-with-ball-1961(1).jpg;1961
4;Roy Lichtenstein;genre painting;oil,canvas;pop art;Look Mickey;https://uploads6.wikiart.org/images/roy-lichtenstein/look-mickey-1961(1).jpg;1961
5;Roy Lichtenstein;portrait;oil,canvas;pop art;Mr. Bellamy;https://uploads5.wikiart.org/images/roy-lichtenstein/mr-bellamy-1961(1).jpg;1961
6;Roy Lichtenstein;still life;oil,canvas;pop art;Roto Broil;https://uploads5.wikiart.org/images/roy-lichtenstein/roto-broil-1961(1).jpg;1961
7;Roy Lichtenstein;genre painting;oil,canvas;pop art;Washing machine;https://uploads7.wikiart.org/images/roy-lichtenstein/washing-machine-1961.jpg;1961
8;Roy Lichtenstein;figurative;;pop art;Tex!;https://uploads7.wikiart.org/00304/images/roy-lichtenstein/20528.jpg!Large.jpg;1962
9;Roy Lichtenstein;still life;oil,canvas;pop art;Baked potato;https://uploads7.wikiart.org/images/roy-lichtenstein/baked-potato-1962(1).jpg;1962
10;Roy Lichtenstein;still life;ink;pop art;Baked potato;https://uploads6.wikiart.org/images/roy-lichtenstein/baked-potato-1962-1.jpg;1962
11;Roy Lichtenstein;genre painting;oil,canvas;pop art;Blam;https://uploads8.wikiart.org/images/roy-lichtenstein/blam-1962(1).jpg;1962
12;Roy Lichtenstein;interior;oil,canvas;pop art;Curtains;https://uploads3.wikiart.org/images/roy-lichtenstein/curtains-1962(1).jpg;1962
13;Roy Lichtenstein;still life;oil,canvas;pop art;Desk calendar;https://uploads8.wikiart.org/images/roy-lichtenstein/desk-calendar-1962(1).jpg;1962
14;Roy Lichtenstein;genre painting;magna,oil,canvas;pop art;Forget it! Forget me!;https://uploads5.wikiart.org/images/roy-lichtenstein/forget-it-forget-me-1962(1).jpg;1962
15;Roy Lichtenstein;portrait;oil,canvas;pop art;Head - red and yellow;https://uploads5.wikiart.org/images/roy-lichtenstein/head-red-and-yellow-1962(1).jpg;1962
16;Roy Lichtenstein;genre painting;graphite,paper;pop art;Jet pilot;https://uploads1.wikiart.org/images/roy-lichtenstein/jet-pilot-1962.jpg;1962
