;artist;genre;media;style;title;url;year
0;Tamara de Lempicka;portrait;;post-impressionism;Portrait of a Little Girl with Her Teddy Bear (Kizette);https://uploads7.wikiart.org/00295/images/tamara-de-lempicka/portrait-of-a-little-girl-with-her-teddy-bear-kizette-1922.jpg;1922
1;Tamara de Lempicka;portrait;oil,canvas;art deco;Redheaded Woman Reading;https://uploads0.wikiart.org/images/tamara-de-lempicka/redheaded-woman-reading-1922.jpg!Large.jpg;1922
2;Tamara de Lempicka;nude painting (nu);oil,canvas;art deco;Perspective;https://uploads5.wikiart.org/images/tamara-de-lempicka/perspective-1923.jpg;1923
3;Tamara de Lempicka;portrait;;art deco;Woman in Black Dress;https://uploads6.wikiart.org/images/tamara-de-lempicka/woman-in-black-dress-1923.jpg!Large.jpg;1923
4;Tamara de Lempicka;portrait;;art deco;Portrait of Kizette;https://uploads1.wikiart.org/00295/images/tamara-de-lempicka/portrait-of-kizette-1924.jpg!Large.jpg;1924
5;Tamara de Lempicka;portrait;;art deco;Double 47;https://uploads8.wikiart.org/images/tamara-de-lempicka/double-47.jpg!Large.jpg;1924
6;Tamara de Lempicka;portrait;;art deco;Portrait of Madame Zanetos;https://uploads3.wikiart.org/images/tamara-de-lempicka/portrait-of-madame-zanetos-1924.jpg!Large.jpg;1924
7;Tamara de Lempicka;nude painting (nu);;art deco;Group of Four Nudes;https://uploads5.wikiart.org/images/tamara-de-lempicka/group-of-four-nudes-1925.jpg!Large.jpg;
8;Tamara de Lempicka;portrait;;art deco;Irene and Her Sister;https://uploads6.wikiart.org/images/tamara-de-lempicka/irene-and-her-sister-1925.jpg!Large.jpg;1925
9;Tamara de Lempicka;nude painting (nu);;art deco;Nude on a Terrace;https://uploads2.wikiart.org/images/tamara-de-lempicka/nude-on-a-terrace-1925.jpg;1925
10;Tamara de Lempicka;portrait;;art deco;Portrait of Marquis Sommi;https://uploads2.wikiart.org/images/tamara-de-lempicka/portrait-of-marquis-sommi-1925.jpg!Large.jpg;1925
11;Tamara de Lempicka;portrait;;art deco;Portrait of Prince Eristoff;https://uploads4.wikiart.org/images/tamara-de-lempicka/portrait-of-prince-eristoff-1925.jpg!Large.jpg;1925
12;Tamara de Lempicka;portrait;;art deco;Portrait of the Duchess of La Salle;https://uploads3.wikiart.org/images/tamara-de-lempicka/portrait-of-the-duchess-of-la-salle-1925.jpg!Large.jpg;1925
13;Tamara de Lempicka;portrait;;art deco;Portrait of the Marquis d'Afflito;https://uploads1.wikiart.org/images/tamara-de-lempicka/portrait-of-the-marquis-d-afflito-1925.jpg!Large.jpg;1925
14;Tamara de Lempicka;nude painting (nu);;art deco;The Model;https://uploads4.wikiart.org/images/tamara-de-lempicka/the-model-1925.jpg!Large.jpg;
