classifier,group,params,score,target
RandomForest,COLOURS,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 2000}",0.596802,ARTIST
RandomForest,COLOURS,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 1000}",0.353068,GENRE
RandomForest,COLOURS,"{'max_depth': 25, 'max_features': 'sqrt', 'n_estimators': 100}",0.347217,STYLE
RandomForest,PALETTES-RGB,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 1000}",0.418755,ARTIST
RandomForest,PALETTES-RGB,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 2000}",0.214564,GENRE
RandomForest,PALETTES-RGB,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 2000}",0.233973,STYLE
RandomForest,PALETTES-HLS,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 1000}",0.458513,ARTIST
RandomForest,PALETTES-HLS,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100}",0.219965,GENRE
RandomForest,PALETTES-HLS,"{'max_depth': 25, 'max_features': 'sqrt', 'n_estimators': 2000}",0.274664,STYLE
RandomForest,LRG-PALETTES-RGB,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 2000}",0.437122,ARTIST
RandomForest,LRG-PALETTES-RGB,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 1000}",0.224287,GENRE
RandomForest,LRG-PALETTES-RGB,"{'max_depth': 25, 'max_features': 'sqrt', 'n_estimators': 1000}",0.26334,STYLE
RandomForest,LRG-PALETTES-HLS,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 1000}",0.473855,ARTIST
RandomForest,LRG-PALETTES-HLS,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 1000}",0.22796,GENRE
RandomForest,LRG-PALETTES-HLS,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 1000}",0.282342,STYLE
RandomForest,IMAGE,"{'max_depth': 25, 'max_features': 'sqrt', 'n_estimators': 100}",0.61452,ARTIST
RandomForest,IMAGE,"{'max_depth': 25, 'max_features': 'sqrt', 'n_estimators': 2000}",0.478176,GENRE
RandomForest,IMAGE,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 2000}",0.438964,STYLE
